companies,Total,Average,Number
Via Rosa Productions,312931870.0,104310623.33333333,3
Lord Miller,311950384.0,311950384.0,1
LEGO System A/S,311950384.0,311950384.0,1
International Production Company,311831528.0,77957882.0,4
Nickelodeon Animation Studios,311594032.0,311594032.0,1
Dreamworks Pictures,310650585.0,310650585.0,1
Mediastream Dritte Film GmbH & Co. Beteiligungs KG,310053802.0,77513450.5,4
Brian Grazer/Scott Rudin Productions,309492681.0,309492681.0,1
Moonlighting Films,309443925.0,77360981.25,4
Left Tackle Pictures,309208309.0,309208309.0,1
BIM Distribuzione,309116107.0,38639513.375,8
EDKO Film,308837170.0,154418585.0,2
Storyline Entertainment,306776732.0,306776732.0,1
Producers Circle,306776732.0,306776732.0,1
Edward R. Pressman Film,306726765.0,38340845.625,8
Cattleya,305914281.0,50985713.5,6
Golden Mean,305875730.0,305875730.0,1
Company Films,305404033.0,101801344.33333333,3
Grindstone Entertainment Group,305296426.0,38162053.25,8
Red Wagon Productions,305292522.0,152646261.0,2
Origo Film Group,304654182.0,304654182.0,1
Envision Entertainment Corporation,304576521.0,76144130.25,4
Key Creatives,304345197.0,152172598.5,2
Julia Phillips and Michael Phillips Productions,303788635.0,303788635.0,1
Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG,303617404.0,101205801.33333333,3
uFilm,303131749.0,37891468.625,8
Nick Wechsler Productions,301627453.0,37703431.625,8
Geffen Pictures,301574328.0,75393582.0,4
"Furia de Titanes II, A.I.E.",301000000.0,301000000.0,1
Telecinco Cinema,300661182.0,50110197.0,6
Vendian Entertainment,300509300.0,75127325.0,4
Oriental Light and Magic (OLM),300467212.0,100155737.33333333,3
Franklin/Waterman Productions,300135367.0,300135367.0,1
Global Medien KG,300135367.0,300135367.0,1
Legend3D,299370084.0,299370084.0,1
Wardour Street Pictures,299268508.0,299268508.0,1
The Criterion Collection,298713095.0,22977930.384615384,13
Participant Productions,297872534.0,99290844.66666667,3
Lorimar Film Entertainment,297707341.0,33078593.444444444,9
Creatures,297593932.0,148796966.0,2
Management Company Entertainment Group (MCEG),297218730.0,148609365.0,2
Amazon Prime Instant Video,297179207.0,74294801.75,4
Moving Pictures,296655431.0,296655431.0,1
Gratitude International,296655431.0,296655431.0,1
Springwood Productions,296339527.0,296339527.0,1
Genetics Productions,296339527.0,296339527.0,1
USA Films,295643736.0,98547912.0,3
Black Rhino Productions,295212467.0,295212467.0,1
Hofflund/Polone,293016114.0,146508057.0,2
Whamaphram Productions,292817841.0,292817841.0,1
Fountainbridge Films,292454160.0,146227080.0,2
Sveriges Television (SVT),292398066.0,22492158.923076924,13
Will Packer Productions,291326484.0,72831621.0,4
Walt Disney Television Animation,290003532.0,96667844.0,3
Bernd Eichinger Productions,289047763.0,289047763.0,1
Type A Films,288648539.0,144324269.5,2
DMG Entertainment,288611494.0,72152873.5,4
Motion Picture THETA Produktionsgesellschaft,288500217.0,288500217.0,1
The Harvey Entertainment Company,287928194.0,287928194.0,1
Columbus 81 Productions,287594577.0,287594577.0,1
Liveplanet,287553595.0,287553595.0,1
Hyde Park Films,287535143.0,41076449.0,7
Propaganda Films,286584112.0,23882009.333333332,12
Televisió de Catalunya (TV3),286410839.0,57282167.8,5
Argyle Enterprises,286214286.0,286214286.0,1
Monolith Pictures (III),286168572.0,286168572.0,1
Universal,285960427.0,95320142.33333333,3
Kaplan/Perrone Entertainment,285877730.0,142938865.0,2
Filmförderungsanstalt (FFA),285653326.0,28565332.6,10
Imagine Films Entertainment,284601724.0,56920344.8,5
Bandito Brothers,284550402.0,142275201.0,2
Cappa Productions,284300000.0,142150000.0,2
R.P. Productions,282995467.0,47165911.166666664,6
Rysher Entertainment,280528446.0,35066055.75,8
LD Entertainment,279340874.0,34917609.25,8
Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),279045751.0,21465057.769230768,13
Birnbaum/Barber,278731369.0,278731369.0,1
French Tax Credit,278731369.0,278731369.0,1
Cineroma SRL,278731369.0,278731369.0,1
BillBlock Media,278009102.0,139004551.0,2
Carolco International N.V.,277872620.0,138936310.0,2
Crave Films,277452808.0,92484269.33333333,3
Leverage Entertainment,274609655.0,68652413.75,4
JVC Entertainment Networks,274440520.0,45740086.666666664,6
Double Nickel Entertainment,274177764.0,137088882.0,2
Intrepid Pictures,273949245.0,30438805.0,9
Black Bear Pictures,273110019.0,45518336.5,6
Bullwinkle Studios,272912430.0,272912430.0,1
Classic Media Productions,272912430.0,272912430.0,1
Strong Heart/Demme Production,272742922.0,272742922.0,1
Affirm Films,270654486.0,33831810.75,8
Slap Happy Productions (II),269994119.0,269994119.0,1
Vincent Newman Entertainment,269994119.0,269994119.0,1
Matten Productions,269958228.0,269958228.0,1
Zweites Deutsches Fernsehen (ZDF),269894221.0,24535838.272727273,11
Smart Entertainment,269448443.0,134724221.5,2
Three Strange Angels,269389434.0,89796478.0,3
Ixtlan Productions,269328855.0,89776285.0,3
Scholastic Entertainment,268987161.0,134493580.5,2
Odd Lot Entertainment,268976351.0,53795270.2,5
Don Carmody Productions,268845114.0,44807519.0,6
QC Entertainment,268808578.0,134404289.0,2
Licht/Mueller Film Corporation,268370450.0,134185225.0,2
Volcano Films,268031828.0,268031828.0,1
Handsomecharlie Films,267934998.0,53586999.6,5
Baldwin Entertainment Group,266965119.0,66741279.75,4
Oasis Films,266603575.0,133301787.5,2
Redwave Films,266153383.0,133076691.5,2
Goldcrest Films International,265249052.0,22104087.666666668,12
Rice Films,264903814.0,132451907.0,2
Nouvelles Éditions de Films (NEF),264454807.0,132227403.5,2
Bold Films,263897514.0,32987189.25,8
Sean S. Cunningham Films,263813826.0,32976728.25,8
Jon Shestack Productions,263426699.0,65856674.75,4
Neal Street Productions,263140318.0,43856719.666666664,6
Pink Machine,261930431.0,261930431.0,1
American Entertainment Partners L.P.,261903965.0,29100440.555555556,9
Four By Two Productions,261572744.0,261572744.0,1
Columbia Pictures Film Production Asia,260827207.0,130413603.5,2
Lava Bear Films,258821119.0,64705279.75,4
Kickstart Productions,258276155.0,129138077.5,2
Ringerike Zweite Filmproduktion,258270008.0,258270008.0,1
Madhouse Entertainment,258193038.0,86064346.0,3
A24,257716224.0,7809582.545454546,33
Ten Thirteen Productions,257567747.0,128783873.5,2
Rastar Pictures,257194800.0,51438960.0,5
Cliffhanger Productions,255000211.0,255000211.0,1
RCS Video,255000211.0,255000211.0,1
Pioneer,255000211.0,255000211.0,1
Taihe Entertainment,254212245.0,254212245.0,1
Shinework Media,254212245.0,254212245.0,1
Renaissance Pictures,254114760.0,63528690.0,4
Wild Hogs Productions,253625427.0,253625427.0,1
Nordisk Film,253236996.0,31654624.5,8
Signature Pictures,253066942.0,31633367.75,8
Senator International,252667461.0,84222487.0,3
Monkeypaw Productions,252434250.0,252434250.0,1
Province of British Columbia Film Incentive BC,252218268.0,50443653.6,5
Huayi Brothers,251917692.0,83972564.0,3
Bac Films,251790049.0,50358009.8,5
David Foster Productions,251505593.0,41917598.833333336,6
Toei Animation,251328265.0,50265653.0,5
LOVEFiLM International,251044257.0,125522128.5,2
Reel FX Creative Studios,251010753.0,62752688.25,4
No Such Productions,250649836.0,250649836.0,1
Courtside Seats Productions,250200000.0,250200000.0,1
Likely Story,249818789.0,20818232.416666668,12
Roger Birnbaum Productions,249016663.0,62254165.75,4
Outlaw Sinema,248581063.0,124290531.5,2
Sony,248384621.0,248384621.0,1
Limited Edition Productions Inc.,248118121.0,248118121.0,1
Haxan Films,248021833.0,124010916.5,2
Malpaso Company,247979167.0,41329861.166666664,6
Hammerhead Productions,247921940.0,123960970.0,2
Motion Picture Corporation of America (MPCA),247276843.0,123638421.5,2
Birnbaum / Barber Productions,246247956.0,61561989.0,4
